순번,제품군,스마트타입,시리즈,미디어,제조사(한),제조사(EN),모델(표시),섀시코드,연식(中),연식(EN),세부분류(한),Category(EN),앰비언트세부,부속옵션,구성·특징(中),구성·특징(한),Config(EN),세트(中),세트(EN),등수(灯),핸들(中),핸들(한),핸들(EN),호환차종(中),워터마크,비고,원본파일명,표준파일명,분류경로,해상도(px),용량(MB),썸네일
11,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,W207,09-16款,2009-2016,앰비언트 라이트,Ambient-Light,등수형,송풍구,氛围灯 出风口 幻彩 COUPE,앰비언트라이트 송풍구 환색 쿠페,Ambient-Light-Air-Vent-RGB-Coupe,,,,,,,,Y,,09-16款奔驰E级COUPE W207氛围灯（幻彩）出风口套件（水印版）.jpg,011_Mercedes-Benz_E-Class_W207_2009-2016_Ambient-Light-Air-Vent-RGB-Coupe.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2009-2016/011_Mercedes-Benz_E-Class_W207_2009-2016_Ambient-Light-Air-Vent-RGB-Coupe.jpg,2000x2000,0.88,thumbs/011_Mercedes-Benz_E-Class_W207_2009-2016_Ambient-Light-Air-Vent-RGB-Coupe.jpg
12,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,W207,09-16款,2009-2016,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 星空 幻彩 Coupe,앰비언트라이트 스타라이트 환색 쿠페,Ambient-Light-Starlight-RGB-Coupe,,,,,,,,Y,,09-16款奔驰E级Coupe W207氛围灯（幻彩）星空款（水印版）.jpg,012_Mercedes-Benz_E-Class_W207_2009-2016_Ambient-Light-Starlight-RGB-Coupe.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2009-2016/012_Mercedes-Benz_E-Class_W207_2009-2016_Ambient-Light-Starlight-RGB-Coupe.jpg,2000x2000,1.07,thumbs/012_Mercedes-Benz_E-Class_W207_2009-2016_Ambient-Light-Starlight-RGB-Coupe.jpg
13,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,,10-14款,2010-2014,앰비언트 라이트,Ambient-Light,등수형,,星涟 仪表 幻彩,스타리플 계기판 환색,Star-Ripple-Cluster-RGB,,,7,,,,,Y,,10-14款奔驰C级 仪表星涟款（幻彩）-7灯 (水印版）.jpg,013_Mercedes-Benz_C-Class_2010-2014_Star-Ripple-Cluster-RGB_7L.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2010-2014/013_Mercedes-Benz_C-Class_2010-2014_Star-Ripple-Cluster-RGB_7L.jpg,2000x2000,1.08,thumbs/013_Mercedes-Benz_C-Class_2010-2014_Star-Ripple-Cluster-RGB_7L.jpg
14,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,W204,10-14款,2010-2014,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 星涟 满配,앰비언트라이트 스타리플 풀옵션,Ambient-Light-Star-Ripple-Full-Spec,,,23,右肽,우핸들,RHD,右肽,Y,,10-14款奔驰C级W204(满配)氛围灯-全车星涟款23灯 【右肽】 (水印版）.jpg,014_Mercedes-Benz_C-Class_W204_2010-2014_Ambient-Light-Star-Ripple-Full-Spec_23L_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2010-2014/014_Mercedes-Benz_C-Class_W204_2010-2014_Ambient-Light-Star-Ripple-Full-Spec_23L_RHD.jpg,2000x2000,1.23,thumbs/014_Mercedes-Benz_C-Class_W204_2010-2014_Ambient-Light-Star-Ripple-Full-Spec_23L_RHD.jpg
15,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,W204,10-14款,2010-2014,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 星涟 仪表 幻彩,앰비언트라이트 스타리플 계기판 환색,Ambient-Light-Star-Ripple-Cluster-RGB,,,7,右肽,우핸들,RHD,右肽,Y,,10-14款奔驰C级W204氛围灯（仪表星涟款幻彩）【右肽】-7灯（水印版）.jpg,015_Mercedes-Benz_C-Class_W204_2010-2014_Ambient-Light-Star-Ripple-Cluster-RGB_7L_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2010-2014/015_Mercedes-Benz_C-Class_W204_2010-2014_Ambient-Light-Star-Ripple-Cluster-RGB_7L_RHD.jpg,2000x2000,1.01,thumbs/015_Mercedes-Benz_C-Class_W204_2010-2014_Ambient-Light-Star-Ripple-Cluster-RGB_7L_RHD.jpg
16,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,,10-14款,2010-2014,앰비언트 라이트,Ambient-Light,등수형,,波光 幻彩,웨이브 환색,Wave-RGB,,,10,,,,,Y,,10-14款奔驰E级（幻彩）波光款-10灯 (水印版).jpg,016_Mercedes-Benz_E-Class_2010-2014_Wave-RGB_10L.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2010-2014/016_Mercedes-Benz_E-Class_2010-2014_Wave-RGB_10L.jpg,2000x2000,1.06,thumbs/016_Mercedes-Benz_E-Class_2010-2014_Wave-RGB_10L.jpg
17,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,,10-15款,2010-2015,앰비언트 라이트,Ambient-Light,등수형,,动态光影 短袖,다이내믹 숏휠베이스,Dynamic-SWB,,,,,,,,Y,,10-15款奔驰E级 短袖版（动态光影）（水印版）.jpg,017_Mercedes-Benz_E-Class_2010-2015_Dynamic-SWB.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2010-2015/017_Mercedes-Benz_E-Class_2010-2015_Dynamic-SWB.jpg,2000x2000,1.21,thumbs/017_Mercedes-Benz_E-Class_2010-2015_Dynamic-SWB.jpg
18,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,,10-15款,2010-2015,앰비언트 라이트,Ambient-Light,등수형,,,,,,,19,,,,,Y,,10-15款奔驰E级-19灯（水印版）.jpg,018_Mercedes-Benz_E-Class_2010-2015_19L.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2010-2015/018_Mercedes-Benz_E-Class_2010-2015_19L.jpg,2000x2000,1.05,thumbs/018_Mercedes-Benz_E-Class_2010-2015_19L.jpg
19,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,W212,10-15款,2010-2015,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 动态光影 短轴 幻彩 选配,앰비언트라이트 다이내믹 숏휠베이스 환색 옵션,Ambient-Light-Dynamic-SWB-RGB-Optional,,,30,右肽,우핸들,RHD,短轴右肽,Y,,10-15款奔驰E级W212氛围灯（幻彩）动态光影【短轴右肽】带选配-30灯（水印版）.jpg,019_Mercedes-Benz_E-Class_W212_2010-2015_Ambient-Light-Dynamic-SWB-RGB-Optional_30L_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2010-2015/019_Mercedes-Benz_E-Class_W212_2010-2015_Ambient-Light-Dynamic-SWB-RGB-Optional_30L_RHD.jpg,2000x2000,1.24,thumbs/019_Mercedes-Benz_E-Class_W212_2010-2015_Ambient-Light-Dynamic-SWB-RGB-Optional_30L_RHD.jpg
20,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,,10-15款,2010-2015,앰비언트 라이트,Ambient-Light,등수형,,主动式幻彩 幻彩,액티브환색 환색,Active-RGB-RGB,,,,,,,,Y,,10-15款奔驰E级主动式幻彩（水印版）.jpg,020_Mercedes-Benz_E-Class_2010-2015_Active-RGB-RGB.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2010-2015/020_Mercedes-Benz_E-Class_2010-2015_Active-RGB-RGB.jpg,2000x2000,1.1,thumbs/020_Mercedes-Benz_E-Class_2010-2015_Active-RGB-RGB.jpg
21,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,,10-15款,2010-2015,앰비언트 라이트,Ambient-Light,등수형,,氛围灯,앰비언트라이트,Ambient-Light,,,23,,,,,Y,,10-15款奔驰E级氛围灯 23灯(水印版）.jpg,021_Mercedes-Benz_E-Class_2010-2015_Ambient-Light_23L.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2010-2015/021_Mercedes-Benz_E-Class_2010-2015_Ambient-Light_23L.jpg,2000x2000,1.23,thumbs/021_Mercedes-Benz_E-Class_2010-2015_Ambient-Light_23L.jpg
22,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,,10-15款,2010-2015,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,,,19,,,,,Y,,10-15款奔驰E级氛围灯（幻彩）-19灯（水印版）.jpg,022_Mercedes-Benz_E-Class_2010-2015_Ambient-Light-RGB_19L.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2010-2015/022_Mercedes-Benz_E-Class_2010-2015_Ambient-Light-RGB_19L.jpg,2000x2000,1.14,thumbs/022_Mercedes-Benz_E-Class_2010-2015_Ambient-Light-RGB_19L.jpg
23,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,,10-15款,2010-2015,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 动态光影 满配 幻彩,앰비언트라이트 다이내믹 풀옵션 환색,Ambient-Light-Dynamic-Full-Spec-RGB,,,30,,,,,Y,,10-15款奔驰E级满配氛围灯（幻彩）动态光影-30灯（水印版）.jpg,023_Mercedes-Benz_E-Class_2010-2015_Ambient-Light-Dynamic-Full-Spec-RGB_30L.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2010-2015/023_Mercedes-Benz_E-Class_2010-2015_Ambient-Light-Dynamic-Full-Spec-RGB_30L.jpg,2000x2000,1.31,thumbs/023_Mercedes-Benz_E-Class_2010-2015_Ambient-Light-Dynamic-Full-Spec-RGB_30L.jpg
24,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,,10-15款,2010-2015,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 动态光影 短轴 满配 幻彩,앰비언트라이트 다이내믹 숏휠베이스 풀옵션 환색,Ambient-Light-Dynamic-SWB-Full-Spec-RGB,,,30,右肽,우핸들,RHD,右肽,Y,,10-15款奔驰E级短轴 满配（幻彩）氛围灯 动态光影-30灯【右肽】(水印版).jpg,024_Mercedes-Benz_E-Class_2010-2015_Ambient-Light-Dynamic-SWB-Full-Spec-RGB_30L_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2010-2015/024_Mercedes-Benz_E-Class_2010-2015_Ambient-Light-Dynamic-SWB-Full-Spec-RGB_30L_RHD.jpg,2000x2000,1.31,thumbs/024_Mercedes-Benz_E-Class_2010-2015_Ambient-Light-Dynamic-SWB-Full-Spec-RGB_30L_RHD.jpg
25,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,,10-15款,2010-2015,앰비언트 라이트,Ambient-Light,등수형,,银河 幻彩,갤럭시 환색,Galaxy-RGB,,,10,,,,,Y,,10-15款奔驰E级（幻彩）银河款-10灯 (水印版).jpg,025_Mercedes-Benz_E-Class_2010-2015_Galaxy-RGB_10L.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2010-2015/025_Mercedes-Benz_E-Class_2010-2015_Galaxy-RGB_10L.jpg,2000x2000,1.09,thumbs/025_Mercedes-Benz_E-Class_2010-2015_Galaxy-RGB_10L.jpg
26,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,,10-15款,2010-2015,앰비언트 라이트,Ambient-Light,등수형,,银河 幻彩,갤럭시 환색,Galaxy-RGB,,,10,右肽,우핸들,RHD,右肽,Y,,10-15款奔驰E级（幻彩）银河款-10灯【右肽】 (水印版).jpg,026_Mercedes-Benz_E-Class_2010-2015_Galaxy-RGB_10L_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2010-2015/026_Mercedes-Benz_E-Class_2010-2015_Galaxy-RGB_10L_RHD.jpg,2000x2000,0.99,thumbs/026_Mercedes-Benz_E-Class_2010-2015_Galaxy-RGB_10L_RHD.jpg
27,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,,10-15款,2010-2015,앰비언트 라이트,Ambient-Light,등수형,,银河 幻彩 选配,갤럭시 환색 옵션,Galaxy-RGB-Optional,,,10,右肽,우핸들,RHD,右肽,Y,,10-15款奔驰E级（幻彩）银河款-10灯【右肽】带选配-10灯（水印版）.jpg,027_Mercedes-Benz_E-Class_2010-2015_Galaxy-RGB-Optional_10L_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2010-2015/027_Mercedes-Benz_E-Class_2010-2015_Galaxy-RGB-Optional_10L_RHD.jpg,2000x2000,1.15,thumbs/027_Mercedes-Benz_E-Class_2010-2015_Galaxy-RGB-Optional_10L_RHD.jpg
28,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLK,,12-15款,2012-2015,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 魔方 幻彩,앰비언트라이트 매직큐브 환색,Ambient-Light-Magic-Cube-RGB,,,22,,,,,Y,,12-15款奔驰GLK氛围灯（幻彩）魔方款-22灯（水印版）.jpg,028_Mercedes-Benz_GLK_2012-2015_Ambient-Light-Magic-Cube-RGB_22L.jpg,images/01_Ambient-Light/Mercedes-Benz/GLK/2012-2015/028_Mercedes-Benz_GLK_2012-2015_Ambient-Light-Magic-Cube-RGB_22L.jpg,2000x2000,1.25,thumbs/028_Mercedes-Benz_GLK_2012-2015_Ambient-Light-Magic-Cube-RGB_22L.jpg
29,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,ML,,12-15款,2012-2015,앰비언트 라이트,Ambient-Light,등수형,트위터,氛围灯 高音 幻彩 4D旋转,앰비언트라이트 트위터 환색 4D회전,Ambient-Light-Tweeter-RGB-4D-Rotary,,,,,,,,Y,,12-15款奔驰ML13-15GL氛围灯（幻彩）-4D旋转高音 (水印版）.jpg,029_Mercedes-Benz_ML_2012-2015_Ambient-Light-Tweeter-RGB-4D-Rotary.jpg,images/01_Ambient-Light/Mercedes-Benz/ML/2012-2015/029_Mercedes-Benz_ML_2012-2015_Ambient-Light-Tweeter-RGB-4D-Rotary.jpg,2000x2000,0.86,thumbs/029_Mercedes-Benz_ML_2012-2015_Ambient-Light-Tweeter-RGB-4D-Rotary.jpg
30,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLE,E16,12-15款,2012-2015,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 动态光影 幻彩,앰비언트라이트 다이내믹 환색,Ambient-Light-Dynamic-RGB,,,,,,,15-19款奔驰GLE16-19GLS氛围灯(幻彩),Y,,12-15款奔驰ML13-15GL氛围灯（幻彩）-动态光影款【15-19款奔驰GLE16-19GLS氛围灯（幻彩）】（水印版）.jpg,030_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Dynamic-RGB.jpg,images/01_Ambient-Light/Mercedes-Benz/GLE/2012-2015/030_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Dynamic-RGB.jpg,2000x2000,1.17,thumbs/030_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Dynamic-RGB.jpg
31,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLE,E16,12-15款,2012-2015,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 银河 原木纹 幻彩,앰비언트라이트 갤럭시 우드무늬 환색,Ambient-Light-Galaxy-Wood-Pattern-RGB,,,,,,,15-19款奔驰GLE16-19GLS氛围灯(幻彩),Y,,12-15款奔驰ML13-15GL氛围灯（幻彩）-原木纹银河款【15-19款奔驰GLE16-19GLS氛围灯（幻彩）】（水印版）.jpg,031_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-Wood-Pattern-RGB.jpg,images/01_Ambient-Light/Mercedes-Benz/GLE/2012-2015/031_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-Wood-Pattern-RGB.jpg,2000x2000,1.26,thumbs/031_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-Wood-Pattern-RGB.jpg
32,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLE,E16,12-15款,2012-2015,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 银河 碳纤纹 幻彩,앰비언트라이트 갤럭시 카본무늬 환색,Ambient-Light-Galaxy-Carbon-Pattern-RGB,,,,,,,15-19款奔驰GLE16-19GLS氛围灯(幻彩),Y,,12-15款奔驰ML13-15GL氛围灯（幻彩）-碳纤纹银河款【15-19款奔驰GLE16-19GLS氛围灯（幻彩）】（水印版）.jpg,032_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-Carbon-Pattern-RGB.jpg,images/01_Ambient-Light/Mercedes-Benz/GLE/2012-2015/032_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-Carbon-Pattern-RGB.jpg,2000x2000,1.37,thumbs/032_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-Carbon-Pattern-RGB.jpg
33,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,ML,,12-15款,2012-2015,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 银河 幻彩,앰비언트라이트 갤럭시 환색,Ambient-Light-Galaxy-RGB,,,,右肽,우핸들,RHD,,Y,,12-15款奔驰ML13-15GL氛围灯（幻彩）-钢琴银河款 右肽（水印版）.jpg,033_Mercedes-Benz_ML_2012-2015_Ambient-Light-Galaxy-RGB_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/ML/2012-2015/033_Mercedes-Benz_ML_2012-2015_Ambient-Light-Galaxy-RGB_RHD.jpg,2000x2000,1.07,thumbs/033_Mercedes-Benz_ML_2012-2015_Ambient-Light-Galaxy-RGB_RHD.jpg
34,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLE,E16,12-15款,2012-2015,앰비언트 라이트,Ambient-Light,등수형,센터콘솔라이트바,氛围灯 银河 中控灯条 灯条 幻彩,앰비언트라이트 갤럭시 센터콘솔라이트바 라이트바 환색,Ambient-Light-Galaxy-Center-Strip-Light-Strip-RGB,,,,,,,15-19款奔驰GLE16-19GLS氛围灯(幻彩),Y,,12-15款奔驰ML13-15GL氛围灯（幻彩）-钢琴银河款【15-19款奔驰GLE16-19GLS氛围灯（幻彩）】 中控灯条（水印版）.jpg,034_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-Center-Strip-Light-Strip-RGB.jpg,images/01_Ambient-Light/Mercedes-Benz/GLE/2012-2015/034_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-Center-Strip-Light-Strip-RGB.jpg,2000x2000,1.2,thumbs/034_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-Center-Strip-Light-Strip-RGB.jpg
35,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLE,E16,12-15款,2012-2015,앰비언트 라이트,Ambient-Light,등수형,라이트바,氛围灯 银河 灯条 幻彩,앰비언트라이트 갤럭시 라이트바 환색,Ambient-Light-Galaxy-Light-Strip-RGB,,,,,,,15-19款奔驰GLE16-19GLS氛围灯(幻彩),Y,,12-15款奔驰ML13-15GL氛围灯（幻彩）-钢琴银河款【15-19款奔驰GLE16-19GLS氛围灯（幻彩）】 灯条款（水印版）.jpg,035_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-Light-Strip-RGB.jpg,images/01_Ambient-Light/Mercedes-Benz/GLE/2012-2015/035_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-Light-Strip-RGB.jpg,2000x2000,1.13,thumbs/035_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-Light-Strip-RGB.jpg
